Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol
1995-08-18,2.7071315420728075,2.7538061777853278,2.7071315420728075,2.7314023971557617,51500,0.0,0.0,DPM.TO
1995-08-21,2.731402570563449,2.7780772092391874,2.731402570563449,2.7538063526153564,64500,0.0,0.0,DPM.TO
1995-08-22,2.7314023971557617,2.7538061777853278,2.7071315420728075,2.7314023971557617,19000,0.0,0.0,DPM.TO
1995-08-23,2.7071317139396185,2.753806352615357,2.7071317139396185,2.7538063526153564,24000,0.0,0.0,DPM.TO
1995-08-24,2.7538061777853278,2.778077032868282,2.7314023971557617,2.7314023971557617,49500,0.0,0.0,DPM.TO
1995-08-25,2.7071315420728075,2.778077032868282,2.7071315420728075,2.7314023971557617,46500,0.0,0.0,DPM.TO
1995-08-28,2.7314023971557617,2.7314023971557617,2.7071315420728075,2.7314023971557617,47500,0.0,0.0,DPM.TO
1995-08-29,2.684727576739349,2.684727576739349,2.6380529403686523,2.6380529403686523,27000,0.0,0.0,DPM.TO
1995-08-30,2.6380533321140387,2.6380533321140387,2.591378688812256,2.591378688812256,51000,0.0,0.0,DPM.TO
1995-08-31,2.6380531755812213,2.6380531755812213,2.567107677459717,2.567107677459717,109000,0.0,0.0,DPM.TO
1995-09-01,2.613782385682992,2.613782385682992,2.544703960418701,2.544703960418701,17000,0.0,0.0,DPM.TO
1995-09-05,2.520433036927443,2.567107677459717,2.520433036927443,2.567107677459717,46000,0.0,0.0,DPM.TO
1995-09-06,2.567107743941951,2.567107743941951,2.5204331022009105,2.544703960418701,48000,0.0,0.0,DPM.TO
1995-09-07,2.520433036927443,2.6137823179919906,2.520433036927443,2.567107677459717,93500,0.0,0.0,DPM.TO
1995-09-08,2.5913785350489476,2.5913785350489476,2.567107677459717,2.567107677459717,86000,0.0,0.0,DPM.TO
1995-09-11,2.591378688812256,2.591378688812256,2.591378688812256,2.591378688812256,11000,0.0,0.0,DPM.TO
1995-09-12,2.5913785743165203,2.707131862640381,2.5671077163595095,2.707131862640381,88500,0.0,0.0,DPM.TO
1995-09-13,2.660456721314142,2.684727576739349,2.6380529403686523,2.6380529403686523,13000,0.0,0.0,DPM.TO
1995-09-14,2.6847278567956048,2.707131862640381,2.6847278567956048,2.707131862640381,70500,0.0,0.0,DPM.TO
1995-09-15,2.707131862640381,2.707131862640381,2.6604569988385935,2.707131862640381,84500,0.0,0.0,DPM.TO
1995-09-18,2.707131862640381,2.707131862640381,2.6847278567956048,2.707131862640381,91500,0.0,0.0,DPM.TO
1995-09-19,2.7071311922214925,2.7071311922214925,2.684727191925049,2.684727191925049,84500,0.0,0.0,DPM.TO
1995-09-20,2.6847275388810226,2.7314023971557617,2.6847275388810226,2.7314023971557617,53500,0.0,0.0,DPM.TO
1995-09-21,2.6847275388810226,2.7314023971557617,2.6847275388810226,2.7314023971557617,34000,0.0,0.0,DPM.TO
1995-09-22,2.707131862640381,2.7314027205973916,2.707131862640381,2.707131862640381,351000,0.0,0.0,DPM.TO
